Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
ASC_5_AZA_12_10_R1_001	8.56608609343					
ASC_5_AZA_12_10_R1_001_val_1		53.9972281853	66.5664269023	18381521.0	18.1818181818	36.0
ASC_5_AZA_12_10_R2_001	7.8677739004					
ASC_5_AZA_12_10_R2_001_val_2		46.9925602042	65.9478445772	18381521.0	9.09090909091	35.0
ASC_5_AZA_4_10_R1_001	11.7481776279					
ASC_5_AZA_4_10_R1_001_val_1		55.5154652352	64.0398036441	16943725.0	27.2727272727	38.0
ASC_5_AZA_4_10_R2_001	10.9416424914					
ASC_5_AZA_4_10_R2_001_val_2		49.427908172	63.6151948878	16943725.0	18.1818181818	37.0
ASC_DMSO_12_10_R1_001	9.91576016165					
ASC_DMSO_12_10_R1_001_val_1		20.2718885403	65.5041757791	19248983.0	9.09090909091	35.0
ASC_DMSO_12_10_R2_001	8.85901597167					
ASC_DMSO_12_10_R2_001_val_2		17.4848517997	65.6518876867	19248983.0	18.1818181818	35.0
ASC_DMSO_4_10_R1_001	11.6773992307					
ASC_DMSO_4_10_R1_001_val_1		57.9112756906	64.044586002	19870676.0	18.1818181818	37.0
ASC_DMSO_4_10_R2_001	11.006322536					
ASC_DMSO_4_10_R2_001_val_2		51.7601004373	63.5796464096	19870676.0	18.1818181818	36.0
