Module	Section	Sample Name	Source
Cutadapt	all_sections	ASC_5_AZA_12_10_R1_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_12_10_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_DMSO_4_10_R2_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_4_10_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_5_AZA_4_10_R1_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_4_10_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_DMSO_12_10_R1_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_12_10_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_DMSO_12_10_R2_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_12_10_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_DMSO_4_10_R1_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_4_10_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_5_AZA_12_10_R2_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_12_10_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	ASC_5_AZA_4_10_R2_001	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_4_10_R2_001.fastq.gz_trimming_report.txt
FastQC	all_sections	ASC_5_AZA_4_10_R1_001_val_1	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_4_10_R1_001_val_1_fastqc.zip
FastQC	all_sections	ASC_DMSO_4_10_R1_001_val_1	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_4_10_R1_001_val_1_fastqc.zip
FastQC	all_sections	ASC_DMSO_4_10_R2_001_val_2	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_4_10_R2_001_val_2_fastqc.zip
FastQC	all_sections	ASC_DMSO_12_10_R1_001_val_1	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_12_10_R1_001_val_1_fastqc.zip
FastQC	all_sections	ASC_5_AZA_12_10_R1_001_val_1	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_12_10_R1_001_val_1_fastqc.zip
FastQC	all_sections	ASC_DMSO_12_10_R2_001_val_2	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_DMSO_12_10_R2_001_val_2_fastqc.zip
FastQC	all_sections	ASC_5_AZA_12_10_R2_001_val_2	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_12_10_R2_001_val_2_fastqc.zip
FastQC	all_sections	ASC_5_AZA_4_10_R2_001_val_2	/Volumes/Seagate Expansion Drive/Cheaha_Backup/Napoli/Alignment/Input/fastq_trimmed/ASC_5_AZA_4_10_R2_001_val_2_fastqc.zip
